region_pair,arch,tunnel,workload,loss_pct,n_runs,connect_max_ms_mean,connect_max_ms_stdev,connect_mean_ms_mean,connect_mean_ms_stdev,connect_min_ms_mean,connect_min_ms_stdev,connect_sd_ms_mean,connect_sd_ms_stdev,cpu_pct_mean_mean,cpu_pct_mean_stdev,goodput_tcp_mbps_mean,goodput_tcp_mbps_stdev,goodput_udp_mbps_mean,goodput_udp_mbps_stdev,h2load_done_mean,h2load_done_stdev,h2load_errored_mean,h2load_errored_stdev,h2load_failed_mean,h2load_failed_stdev,h2load_succeeded_mean,h2load_succeeded_stdev,h2load_total_mean,h2load_total_stdev,http_2xx_mean,http_2xx_stdev,http_4xx_mean,http_4xx_stdev,http_5xx_mean,http_5xx_stdev,http_success_pct_mean,http_success_pct_stdev,n_curl_attempts_mean,n_curl_attempts_stdev,n_curl_ok_mean,n_curl_ok_stdev,observed_loss_pct_mean,observed_loss_pct_stdev,req_max_ms_mean,req_max_ms_stdev,req_mean_ms_mean,req_mean_ms_stdev,req_min_ms_mean,req_min_ms_stdev,req_per_sec_mean,req_per_sec_stdev,req_sd_ms_mean,req_sd_ms_stdev,retrans_count_mean,retrans_count_stdev,rtt_max_ms_mean,rtt_max_ms_stdev,rtt_mdev_ms_mean,rtt_mdev_ms_stdev,rtt_mean_ms_mean,rtt_mean_ms_stdev,rtt_min_ms_mean,rtt_min_ms_stdev,rx_bytes_delta_mean,rx_bytes_delta_stdev,ttfb_max_ms_mean,ttfb_max_ms_stdev,ttfb_mean_ms_mean,ttfb_mean_ms_stdev,ttfb_min_ms_mean,ttfb_min_ms_stdev,ttfb_p50_ms_mean,ttfb_p50_ms_stdev,ttfb_p95_ms_mean,ttfb_p95_ms_stdev,ttfb_p99_ms_mean,ttfb_p99_ms_stdev,ttfb_sd_ms_mean,ttfb_sd_ms_stdev,tx_bytes_delta_mean,tx_bytes_delta_stdev,anomaly_count
HIGH-arm,arm64,wireguard-tcp-fast,short-transfer,10.0,3,,,,,,,,,3.241,3.622,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.809,0.004,,,,,,,,,,,,,102.667,177.824,,,,,,,613.228,0.532,742.816,112.08,816.893,1.021,,,0,0.0,36
HIGH-arm,arm64,wireguard-tcp-fast,short-transfer,20.0,3,,,,,,,,,0.968,0.243,,,,,,,,,,,,,,,,,,,,,92.593,12.83,335,248.191,327,259.305,,,,,,,,,0.603,0.332,,,,,,,,,,,,,294.667,404.62,,,,,,,607.447,4.887,804.037,4.913,1992.943,1844.841,,,0,0.0,12
HIGH-arm,arm64,wireguard-tcp-fast,ssh-interactive,0.0,3,,,,,,,,,0.629,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,201.429,1.614,0.21,0.043,198.106,0.013,197.756,0.016,0,0.0,,,,,,,,,,,,,,,0,0.0,27
HIGH-arm,arm64,wireguard-tcp-fast,ssh-interactive,0.5,3,,,,,,,,,0.727,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,202.355,1.803,0.233,0.034,198.113,0.038,197.749,0.005,0,0.0,,,,,,,,,,,,,,,0,0.0,29
HIGH-arm,arm64,wireguard-tcp-fast,ssh-interactive,1.0,3,,,,,,,,,0.755,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,204.057,3.377,0.296,0.121,198.163,0.017,197.754,0.018,0,0.0,,,,,,,,,,,,,,,0,0.0,29
HIGH-arm,arm64,wireguard-tcp-fast,ssh-interactive,2.0,3,,,,,,,,,0.758,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,206.247,8.875,0.332,0.262,198.168,0.027,197.774,0.017,0,0.0,,,,,,,,,,,,,,,0,0.0,25
HIGH-arm,arm64,wireguard-tcp-fast,ssh-interactive,3.0,3,,,,,,,,,0.758,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,205.603,7.088,0.322,0.247,198.145,0.025,197.753,0.001,0,0.0,,,,,,,,,,,,,,,0,0.0,29
HIGH-arm,arm64,wireguard-tcp-fast,ssh-interactive,5.0,3,,,,,,,,,0.717,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,201.342,1.461,0.179,0.017,198.139,0.012,197.748,0.024,0,0.0,,,,,,,,,,,,,,,0,0.0,29
HIGH-arm,arm64,wireguard-tcp-fast,ssh-interactive,10.0,3,,,,,,,,,0.864,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,0,0.0,0
HIGH-arm,arm64,wireguard-tcp-fast,ssh-interactive,20.0,3,,,,,,,,,13.837,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,0,0.0,0
HIGH-arm,arm64,wireguard-tcp-fast,web-mix,0.0,3,431.763,12.964,414.213,4.987,399.053,0.652,10.027,4.403,3.18,0.13,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,265.243,112.798,198.007,0.124,197.65,0.0,2031.423,82.953,1.206,1.389,,,,,,,,,,,0,0.0,629.723,12.912,612.49,4.744,597.987,1.358,,,,,,,9.797,4.551,0,0.0,33
HIGH-arm,arm64,wireguard-tcp-fast,web-mix,0.5,3,429.73,3.957,413.14,1.201,399.93,1.079,8.69,1.179,3.768,1.153,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,333.693,108.257,198.71,0.457,197.657,0.006,1972.977,86.883,7.243,5.022,,,,,,,,,,,0,0.0,627.933,4.459,611.28,1.241,598.563,1.421,,,,,,,8.543,1.161,0,0.0,32
HIGH-arm,arm64,wireguard-tcp-fast,web-mix,1.0,3,436.41,8.876,417.773,2.91,399.427,0.575,10.773,3.7,3.618,1.275,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,395.75,0.155,198.323,0.34,197.65,0.01,1920.263,10.864,8.41,3.844,,,,,,,,,,,0,0.0,634.383,8.92,616.033,2.795,598.003,0.708,,,,,,,10.607,3.699,0,0.0,23
HIGH-arm,arm64,wireguard-tcp-fast,web-mix,2.0,3,434.923,6.53,415.22,1.519,400.47,0.241,10.28,1.984,2.768,0.419,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,331.803,111.66,198.467,0.524,197.657,0.006,1972.937,84.03,6.967,6.652,,,,,,,,,,,0,0.0,632.867,6.491,613.443,1.397,599.15,0.463,,,,,,,10.173,2.037,0,0.0,23
HIGH-arm,arm64,wireguard-tcp-fast,web-mix,3.0,3,433.497,8.465,415.58,2.54,400.7,1.071,9.707,2.646,4.277,1.02,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,264.6,113.337,197.983,0.11,197.647,0.012,2025.407,86.076,2.01,3.101,,,,,,,,,,,0,0.0,631.42,8.474,614.003,2.987,599.613,1.824,,,,,,,9.377,2.182,0,0.0,25
HIGH-arm,arm64,wireguard-tcp-fast,web-mix,5.0,3,425.073,0.457,412.227,0.555,399.88,1.239,7.623,0.325,3.357,0.128,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,330.693,113.314,198.513,0.436,197.66,0.01,1977.257,87.465,8.206,6.851,,,,,,,,,,,0,0.0,623.18,0.413,610.573,0.647,598.837,1.759,,,,,,,7.42,0.594,0,0.0,33
HIGH-arm,arm64,wireguard-tcp-fast,web-mix,10.0,3,434.523,13.582,417.147,6.802,400.717,1.023,10.063,4.241,,,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,331.763,114.345,199.23,0.547,198.397,0.006,1962.16,77.927,8.63,7.283,,,,,,,,,,,10.667,18.475,633.223,13.635,616.043,6.649,600.327,1.673,,,,,,,9.933,4.32,0,0.0,0
HIGH-arm,arm64,wireguard-tcp-fast,web-mix,20.0,3,428.65,5.935,414.787,2.197,403.65,3.128,7.15,1.885,,,,,,,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,5000,0.0,0,0.0,0.0,0.0,,,,,,,266.267,114.543,199.123,0.733,198.41,0.0,2017.543,87.884,5.104,8.405,,,,,,,,,,,10.667,18.475,627.323,5.843,614.297,2.44,603.18,3.254,,,,,,,6.723,2.4,0,0.0,0
HIGH-arm,arm64,wireguard-udp,long-transfer,0.0,3,,,,,,,,,40.416,3.465,445.877,38.032,999.596,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,53771360,2965361.821,,,,,,,,,,,,,,,12258770050.667,328479735.718,0
HIGH-arm,arm64,wireguard-udp,long-transfer,0.5,3,,,,,,,,,36.116,2.76,7.147,0.327,994.576,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,2135738.667,111325.975,,,,,,,,,,,,,,,8587939773.333,6937458.072,0
HIGH-arm,arm64,wireguard-udp,long-transfer,1.0,3,,,,,,,,,13.287,21.27,4.157,0.627,989.655,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,1085421.333,101411.236,,,,,,,,,,,,,,,2864507237.333,4886095290.697,0
HIGH-arm,arm64,wireguard-udp,long-transfer,2.0,3,,,,,,,,,32.319,0.499,2.363,0.141,979.775,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,693750.667,84127.68,,,,,,,,,,,,,,,8410714350.667,3169242.283,0
HIGH-arm,arm64,wireguard-udp,long-transfer,3.0,3,,,,,,,,,33.229,1.281,1.893,0.04,969.66,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,537796,34753.635,,,,,,,,,,,,,,,8318849406.667,1216095.645,0
HIGH-arm,arm64,wireguard-udp,long-transfer,5.0,3,,,,,,,,,32.443,1.436,1.266,0.05,949.684,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,427545.333,28504.535,,,,,,,,,,,,,,,8142259728,834901.263,0
HIGH-arm,arm64,wireguard-udp,long-transfer,10.0,3,,,,,,,,,22.87,19.443,0.7,0.035,900.015,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,293225.333,17770.529,,,,,,,,,,,,,,,5142868666.667,4447876577.623,0
HIGH-arm,arm64,wireguard-udp,long-transfer,20.0,3,,,,,,,,,14.969,20.146,0.355,0.005,788.747,15.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,184812,8561.357,,,,,,,,,,,,,,,4568857860,3953702489.36,0
HIGH-arm,arm64,wireguard-udp,short-transfer,0.0,3,,,,,,,,,12.638,0.238,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.859,0.004,,,,,,,,,,,,,239253397.333,7111.125,,,,,,,590.475,6.951,786.028,9.186,787.86,8.815,,,10771480,174207.178,0
HIGH-arm,arm64,wireguard-udp,short-transfer,0.5,3,,,,,,,,,8.006,6.116,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.846,0.012,,,,,,,,,,,,,239245410.667,5630.338,,,,,,,589.991,7.648,785.351,10.293,1193.16,10.76,,,10463336,274633.573,0
HIGH-arm,arm64,wireguard-udp,short-transfer,1.0,3,,,,,,,,,1.156,0.022,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.821,0.003,,,,,,,,,,,,,239249612,4442.016,,,,,,,598.741,0.206,808.722,19.432,1479.44,225.836,,,9827494.667,69960.742,0
HIGH-arm,arm64,wireguard-udp,short-transfer,2.0,3,,,,,,,,,1.173,0.047,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.814,0.018,,,,,,,,,,,,,239257201.333,1214.936,,,,,,,589.97,7.62,1064.525,201.972,1633.343,203.431,,,9909766.667,136380.716,0
HIGH-arm,arm64,wireguard-udp,short-transfer,3.0,3,,,,,,,,,1.128,0.022,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.777,0.006,,,,,,,,,,,,,239262257.333,1219.182,,,,,,,599.006,0.222,1234.954,29.521,1651.709,11.594,,,9809477.333,71873.101,0
HIGH-arm,arm64,wireguard-udp,short-transfer,5.0,3,,,,,,,,,1.147,0.086,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.742,0.01,,,,,,,,,,,,,239273318.667,4656.849,,,,,,,599.264,0.138,1610.514,13.97,2062.476,168.037,,,9387686.667,78784.619,0
HIGH-arm,arm64,wireguard-udp,short-transfer,10.0,3,,,,,,,,,1.03,0.032,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.652,0.005,,,,,,,,,,,,,239311284,3030.028,,,,,,,599.836,0.44,1967.357,157.762,3097.863,121.278,,,9128682.667,149176.303,0
HIGH-arm,arm64,wireguard-udp,short-transfer,20.0,3,,,,,,,,,0.931,0.019,,,,,,,,,,,,,,,,,,,,,100.0,0.0,600,0.0,600,0.0,,,,,,,,,0.507,0.011,,,,,,,,,,,,,239369201.333,5330.165,,,,,,,1062.618,114.75,3135.269,156.473,4671.06,382.945,,,8421720,159159.832,0
HIGH-arm,arm64,wireguard-udp,ssh-interactive,0.0,3,,,,,,,,,0.853,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,200.273,2.516,0.198,0.077,197.132,0.03,196.772,0.021,132132,103.923,,,,,,,,,,,,,,,132105.333,108.542,0
HIGH-arm,arm64,wireguard-udp,ssh-interactive,0.5,3,,,,,,,,,0.815,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.265,,,,,,,,,,,,,210.23,20.629,0.494,0.6,197.175,0.025,196.763,0.011,131620,237.419,,,,,,,,,,,,,,,131561.333,340.924,0
